,model,price,specs,processor,core,ram,storage,graphics,display,os
513,Dell Vostro 3420 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹37,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS
514,HP Pavilion x360 14-ek0137TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹56,990",65,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
515,Acer Aspire 5 A515-57 2022 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹48,990",65,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphic,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
516,Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹33,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
517,Asus Vivobook 16X M1603QA-MB512WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),"₹50,990",67,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7,"16 inches, 1200 x 1920 pixels",Windows 11 OS
518,Asus Vivobook 15 2022 X1502ZA-EJ515WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹47,990",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
519,Dell G15-5520 D560895WIN9S Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹99,990",79,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
520,Lenovo IdeaPad 3 82KU017KIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹42,963",,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
521,Lenovo IdeaPad Gaming 3 82S900HNIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹62,990",72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
522,Lenovo Thinkbook 15 21DJA04LIH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹57,999",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
523,Dell Inspiron 3520 D560879WIN9S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹68,990",63,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB Hard Disk,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels"
524,Lenovo IdeaPad Gaming 3 82K201V2IN Laptop (AMD Ryzen 7 5800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹61,283",73,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
525,Lenovo IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹60,990",67,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
526,Lenovo IdeaPad Gaming 3 82K201YAIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹45,219",67,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
527,HP 247 G8 ‎6B5R3PA Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ FreeDOS),"₹34,000",,5th Gen AMD Ryzen 3  5300U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1366 x 768 pixels",DOS OS
528,Chuwi HeroBook Pro HBPJP Laptop (Intel Celeron N4020/ 8GB/ 256GB SSD/ Win11),"₹18,990",,Intel ‎Celeron N4020,"Dual Core, 2 Threads",8 GB DDR3 RAM,256 GB SSD,Intel HD Graphics,"14.1 inches, 1366 x 768 pixels",Windows 11 OS
529,Dell Inspiron 5320 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹73,990",65,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,"13.3 inches, 2560 x 1600 pixels",Windows 11 OS
530,Lenovo Legion 5 Pro 82RG00EKIN Laptop (AMD Ryzen 7 6800H/ 32GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,79,990",81,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 3070 ,"16 inches, 2560 x 1600 pixels",Windows 11 OS
531,Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11),"₹54,990",68,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS
532,Gigabyte Aero 5 KE4 OLED Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,49,500",78,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS
533,MSI Creator Pro M16 A12UIS-634IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 4GB Graph),"₹85,440",79,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX A1000,"16 inches, 2560 x 1660 pixels",Windows 11 OS
534,Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹65,990",73,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
535,Asus Vivobook S14 Flip 2022 TN3402QA-LZ501WS Laptop (AMD Ryzen 5-5600H/ 16GB/ 512GB SSD/Win11),"₹56,500",,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS
536,Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹71,078",74,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
537,Acer One 14 Z2-493 Laptop (AMD Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11),"₹23,990",,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,AMD Radeon Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS
538,HP Pavilion x360 14-ek0074TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹73,990",67,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
539,Asus VivoBook Pro 15 OLED K6500ZE-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹89,990",68,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
540,Lenovo IdeaPad Gaming 3 82K201UEIN Laptop (AMD Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹46,078",68,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
541,Dell G15-5521 SE D560738WIN9B Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,04,990",84,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS
542,Dell Latitude 3420 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Ubuntu),"₹29,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated,"14 inches, 1366 x 768 pixels",Ubuntu OS
543,Lenovo IdeaPad Gaming 3 15ACH6 82K201Y8IN Laptop (AMD Ryzen 7-5800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹69,990",71,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
544,Asus VivoBook 14 X415EA-EK322WS Notebook (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹32,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Intel UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS
545,Asus Vivobook S14 Flip 2022 TN3402QA-LZ511WS Laptop (AMD Ryzen 5-5600H/ 16GB/ 512GB SSD/Win11),"₹57,990",65,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS
546,Asus VivoBook 15 X1500EA-EJ322WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹34,990",,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4  RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
547,Dell Vostro 3425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB/ Win11 Home),"₹46,590",66,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS
548,HP 15s-dr3506TU Laptop (11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win 11 Home),"₹35,990",60,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels"
549,Dell Inspiron 3525 Laptop (AMD Ryzen3 5425U/ 8GB/ 512GB SSD/ Win11),"₹37,599",62,5th Gen AMD Ryzen 3 5425U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
550,Lenovo IdeaPad Gaming 3 82K10198IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹44,990",67,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
551,HP Pavilion 14-eh0024TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win 11),"₹94,565",73,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS
552,HP Victus 16-E0301Ax Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,990",71,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS
553,Lenovo IdeaPad Slim 3 82RK0085IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹55,200",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB  RAM,512 GB SSD,‎Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
554,HP 15s-FR2511TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹37,672",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
555,Dell G15-5525 Gaming Laptop (Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹79,990",77,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
556,Lenovo IdeaPad Slim 3 82RK006DIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹36,800",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB  RAM,512 GB SSD,‎Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
557,Dell Inspiron 3525 Laptop (AMD Ryzen7 5825U/ 8GB/ 512GB SSD/ Win11),"₹54,890",66,5th Gen AMD Ryzen 7  5825U,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
558,Lenovo IdeaPad Slim 1 82R1004AIN Laptop (AMD Ryzen 5 3500U/ 8GB/ 512GB SSD/ Win11 Home),"₹41,490",60,3rd Gen AMD Ryzen 5 3500U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
559,MSI Thin GF63 11SC-852IN Gaming Laptop (11th Gen Core i7/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹54,990",72,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 MAX Q,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
560,HP Pavilion 14-dv2041TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹72,999",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS
561,Apple MacBook Pro 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ macOS),"₹1,07,990",,Apple M2 Apple M2 Chip,Octa Core,8 GB  RAM,256 GB SSD,10 Core GPU,"13.3 inches, 2560 x 1600 pixels",Mac OS
562,Acer Swift 3 SF314-512 NX.K0FSI.002 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹58,990",,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 2560 x 1440 pixels",Windows 11 OS
563,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹61,990",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
564,Asus Strix G15 G513RM-HQ271WS Gaming Laptop (Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹99,890",81,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS
565,Asus Vivobook S15 OLED K3502ZA-L701WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹76,990",70,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris XE Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
566,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹54,990",,12th Gen Intel Core i5 1235U ,"10 Cores, 12 Threads",8 GB LPDDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
567,HP Pavilion 14-EC1019AU Laptop (Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11 Home),"₹59,990",,5th Gen AMD Ryzen 5  5625U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS
568,HP Pavilion 15-eh2024AU Laptop (Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11 Home),"₹46,394",,5th Gen AMD Ryzen 5  5625U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS
569,Dell Vostro 5625 laptop (Ryzen 5-5625U/ 16GB/ 512GB SSD/ Windows 11),"₹58,990",71,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Vega,"16 inches, 1920 x 1200 pixels",Windows 11 OS
570,HP Pavilion x360 14-dy0207TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹54,070",,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS
571,Asus ROG Strix G15 G513RC-HN083W Gaming Laptop (Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹88,990",60,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
572,Dell Vostro 3510 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹52,650",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS
573,Dell Inspiron 3511 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11/ 2GB Graph),"₹62,200",64,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,2 GB NVIDIA MX350 ,"15.6 inches, 1920 x 1080 pixels"
574,Infinix INBook X1 XL11 Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹30,490",,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8 GB LPDDR4X RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11  OS
575,Lenovo IdeaPad Gaming 3 82K100MVIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹53,500",65,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",Windows 10  OS
576,MSI Pulse GL66 11UDK627IN Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹69,990",74,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
577,Dell Inspiron 3511 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10/ 2GB Graph),"₹65,500",65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,2 GB NVIDIA GeForce MX350,"15.6 inches, 1920 x 1080 pixels"
578,HP Pavilion 15-ec2004AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹57,990",65,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
579,Lenovo Tab Yoga Duet 7 (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹49,999",,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8 GB  RAM,512 GB SSD,Intel Iris Xe Graphics,"13 inches, 1920 x 1080 pixels, Touch Screen",Windows 10  OS
580,Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),"₹49,250",60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
581,Acer Aspire 5 A515-45-R0HB NX.A84SI.002 Laptop (AMD Ryzen 5/ 8GB/ 512GB SSD/ Win10 Home),"₹37,990",61,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS
582,Lenovo ThinkPad X1 Carbon 20KH002JUS Laptop (8th Gen Core i7/ 16GB/ 512GB SSD/ Win10 Pro),"₹1,24,050",66,8th Gen Intel Core i7 8650U ,"Quad Core, 8 Threads",16 GB LPDDR3 RAM,512 GB SSD,Intel UHD 620,"14 inches, 1920 x 1080 pixels",Windows 10 OS
583,Avita Pura NS14A6 Laptop (AMD Ryzen 5/ 8GB/ 512GB SSD/ Win10),"₹22,190",,3rd Gen AMD Ryzen 5  3500U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 8,"14 inches, 1920 x 1080 pixels",Windows 10 OS
584,HP EliteBook 840 G6 (8LX79PA) Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹90,464",,8th Gen Intel Core i5 8265U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Integrated UHD Graphics 620,"14 inches, 1920 x 1080 pixels",Windows 10 OS
585,Dell Inspiron 5370 Laptop (8th Gen Core i7/ 8GB/ 256GB SSD/ Win10/ 4GB Graph),"₹87,990",67,8th Gen Intel Core i7 8550U,"Quad Core, 8 Threads",8 GB DDR4 RAM,256 GB SSD,4 GB Geforce MX130,"13.3 inches, 1920 x 1080 pixels",Windows 10 OS
586,iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10),"₹10,500",,Intel Atom Quad Core Z3735F,Quad Core,2 GB DDR3 RAM,32 GB Hard Disk,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 10 OS
587,HP 250 G9 7M657PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹39,999",60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated,"15.6 inches, 1366 x 768 pixels",Windows 11 OS
588,Asus Vivobook Go 14 E1404FA-NK543WS Laptop (Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11),"₹45,043",,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16 GB LPDDR5 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS
589,Lenovo Yoga 7 82YL0095IN Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),"₹95,490",75,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,1 TB SSD,Integrated Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS
590,Asus Vivobook Go 14 E410KA-EK013W Laptop (Celeron N4500/ 8GB/ 256GB SSD/ Win11 Home),"₹24,990",,Intel   N4500,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows OS
591,Asus Vivobook Pro 15 OLED M6500QC-LK741WS Laptop (Ryzen 5 5800HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹82,500",63,5th Gen AMD Ryzen 7 5800HS,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
592,Ultimus Lite NU14U4INC44BN-CS Laptop (Celeron N4020/ 4GB/ 256GB SSD/ Win11 Home),"₹14,490",,Intel Celeron  N4020,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD Graphics,"14.1 inches, 1366 x 768 pixels",Windows 11 OS
593,HP 240 G8 689U4PA Business Laptop (11th Gen Core i5/ 8GB/ 512 GB SSD/ Win11),"₹66,999",64,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS
